producto,ciudad,precio,variabilidad,fecha,LATITUD,LONGITUD
Arveja verde en vaina,armenia,7200,0.1,01ago2023,6.163683758,-75.80995528
Arveja verde en vaina,armenia,7200,0.1,01ago2023,4.499501128,-75.72489985
Arveja verde en vaina,bogotá,7925,0.11,01ago2023,,
Arveja verde en vaina,bucaramanga,6860,0.08,01ago2023,7.155833544,-73.11156997
Arveja verde en vaina,cali,7733,-0.03,01ago2023,3.399043723,-76.57649259
Arveja verde en vaina,cúcuta,9417,0.11,01ago2023,,
Arveja verde en vaina,ibagué,6000,-0.01,01ago2023,4.451921427,-75.252591
Arveja verde en vaina,medellín,5950,n.d.,01ago2023,6.257590259,-75.61103107
Arveja verde en vaina,neiva,5653,-0.12,01ago2023,2.993360046,-75.27236232
Arveja verde en vaina,pereira,7200,n.d.,01ago2023,4.803662773,-75.79579093
Arveja verde en vaina,santa,n.d.,n.d.,01ago2023,,
Arveja verde en vaina,tunja,6750,-0.02,01ago2023,5.518472615,-73.37801856
Cebolla cabezona blanca,armenia,2000,0.09,01ago2023,6.163683758,-75.80995528
Cebolla cabezona blanca,armenia,2000,0.09,01ago2023,4.499501128,-75.72489985
Cebolla cabezona blanca,bogotá,1763,0.01,01ago2023,,
Cebolla cabezona blanca,bucaramanga,1960,0,01ago2023,7.155833544,-73.11156997
Cebolla cabezona blanca,cali,1875,-0.08,01ago2023,3.399043723,-76.57649259
Cebolla cabezona blanca,cúcuta,1958,-0.15,01ago2023,,
Cebolla cabezona blanca,ibagué,1883,-0.06,01ago2023,4.451921427,-75.252591
Cebolla cabezona blanca,medellín,1927,-0.05,01ago2023,6.257590259,-75.61103107
Cebolla cabezona blanca,neiva,n.d.,n.d.,01ago2023,2.993360046,-75.27236232
Cebolla cabezona blanca,pereira,2093,-0.03,01ago2023,4.803662773,-75.79579093
Cebolla cabezona blanca,santa,2100,-0.12,01ago2023,,
Cebolla cabezona blanca,tunja,1467,-0.07,01ago2023,5.518472615,-73.37801856
Cebolla junca,armenia,2286,0,01ago2023,6.163683758,-75.80995528
Cebolla junca,armenia,2286,0,01ago2023,4.499501128,-75.72489985
Cebolla junca,bogotá,3924,0.19,01ago2023,,
Cebolla junca,bucaramanga,1055,0.11,01ago2023,7.155833544,-73.11156997
Cebolla junca,cali,2370,0.33,01ago2023,3.399043723,-76.57649259
